Incipit ,Hs. ,Korpus ,Editionen 
Steten fru̍nden wil ich klagen,C,Heinrich von der Mure,KLD 22 II
Stetiz lop er nie gewan,A,Reinmar der Fiedler,"MF 192,18"
"Suͤsze Minne, mine sinne",P₁,Namenlos/​Gemischt,KLD 15 XXII
Su̍ist mir liep unde liebet mir fu̍r alle wip,"I, I₁, f₁, k₁, g₁",Namenlos/​Gemischt,KLD 44 IV 11; RSM ¹ReiBr/517a
Su̍ist mir liep unde liebet mir fu̍r alle wip,"k, db₁, db₂",Reinmar von Brennenberg,KLD 44 IV 4; RSM ¹ReiBr/506a
"Su̍sagent, das niht herter si","B, C",Wilhelm von Heinzenburg,KLD 67 IVb
Sumer hinnen kere! mit sere sin ere swachen wil,C,Konrad von Würzburg,Schr VIII 1
Sumer ist nu gar zergan,"C, L",Ulrich von Liechtenstein,KLD 58 V
Sumer oͮget sine wunne,C,Ulrich von Winterstetten,KLD 59 XVI
Sumer wil uns aber bringen,C,Ulrich von Winterstetten,KLD 59 IX
Sumer zieret heide unde anger unde den walt,C,Ulrich von Winterstetten,KLD 59 XXXII
Sumer zieret heide unde anger unde den walt,C,Der Taler,KLD 59 XXXII
"Sumer, der wil aber komen schone",C,Rudolf der Schreiber,KLD 50 II
"Sumer, din gewalt wil swinden",C,Gottfried von Neifen,KLD 15 XXXV
"Sumer, diner froͤidebernden wunne",C,Gottfried von Neifen,KLD 15 II
"Sumer, diner lieben ku̍nfte",C,Ulrich von Winterstetten,KLD 59 XIV
"Sumer, nu wil din gewalt",C,Gottfried von Neifen,KLD 15 XXXII
"Sumer, sumer, sumerzit",C,Wachsmut von Mühlhausen,KLD 61 V
"Sumer, uns hat din schoͤne",C,Gottfried von Neifen,KLD 15 XVII
Sumerlichu̍wunne,C,Ulrich von Winterstetten,KLD 59 XXV
Sumervar,"C, L",Ulrich von Liechtenstein,KLD 58 XXIX
Sumerwunne ist hin gekeret,C,Ulrich von Winterstetten,KLD 59 XII
"Sumerwunne, so du dine liehten tage erglentzen wilt",C,Ulrich von Winterstetten,KLD 59 II
"Sumerwunne, swer dich schoͮwen",C,Der Kanzler,KLD 28 V
Sumerzit uns git ane widerstrit,C,Ulrich von Winterstetten,KLD 59 Leich II
"Summer, diner liehtebernden wunne","I, I₁",Namenlos/​Gemischt,KLD 15 II
Swa biderbe herren sterbent,C,Der von Buchein,KLD 5 V 2; RSM ¹Buch/2
Swa golt gelu̍tert wirt also,C,Der Kanzler,KLD 28 XVI 4; RSM ¹Kanzl/5/4
Swa tac erschinen sol,C,Konrad von Würzburg,Schr XXX
Swa zewene dienent einem wibe,C,Dietmar von Aist,KLD 38 h 34; RSM ¹SpervA/5/1c
Swar ich var unde swas ich frowen han gesehen,C,Reinmar von Brennenberg,KLD 44 IV 6; RSM ¹ReiBr/6a
Swas der sumer froͤiden bringet,C,Schenk von Limburg,KLD 34 VI
Swaz ich ie gesang von wiben,P₁,Namenlos/​Gemischt,KLD 15 XXVI
"Swelch man di jar hat ane muͦt, di doch manzitic sint",D,Namenlos/​Gemischt,KLD 35 VIII
Swelh leben ein guͦt ende hat,C,Der Kanzler,KLD 28 XVI 5; RSM ¹Kanzl/5/5
"Swer da minne pfliget, da ers doch niemer kan volbringen",C,Walther von Mezze,KLD 62 VIII
Swer den froͮwen an ir ere,C,Heinrich von Veldeke,KLD 26 2; MF XI XXXVI (Pseudo-Veldeke)
Swer des biderben swache pfliget,C,Dietmar von Aist,KLD 38 h 17; RSM ¹SpervA/2/3c
"Swer die wunne wol pruͤven kunne, der si des gemant",C,Ulrich von Winterstetten,KLD 59 Leich IV
Swer hinat der verholner minne hat gepflegen,C,Von Wissenlo,KLD 68 I
Swer ie seneden muͦt gewan,"A, C",Günther von dem Forste,KLD 17 II
Swer ir lob wil rehte messen,C,Burkhard von Hohenfels,KLD 6 IV
Swer mit tru̍wen umbe ein wib,C,Engelhart von Adelnburg,"MF 148,25"
Swer nu verholner minne pfligt,C,Ulrich von Winterstetten,KLD 59 VII
Swer sich daran stôsset,C,Konrad von Würzburg,Schr XXIV 1; RSM ¹KonrW/4/1
Swer sich underwindet,"B, C",Wilhelm von Heinzenburg,KLD 67 IIIa
Swer toͮgenlicher minne pflege,C,Bruno von Hornberg,KLD 3 III
"Swer wenet, daz ich durh gebende",C,Bruno von Hornberg,KLD 3 II
Swes muͦt ze froͤiden si gestaltt,C,Friedrich von Leiningen,KLD 12 I
Swie der walt in gruͤner varwe ste,C,Wachsmut von Künzingen,KLD 60 I
"Swie der winter kalt, das ich wol sich",C,Der Dürner,KLD 9 I
Swie gar du̍welt an froͤiden si verkeret,C,Rubin,KLD 47 VIII A
Swie gar ich ane herzecliche vroͤde si,B,Rubin,KLD 47 I
Swie gerne ich were,C,Ulrich von Winterstetten,KLD 59 XXXVII
Swie vil ein wip unvreide machet,A,Ulrich von Singenberg,SMS 12 15 I
Swie vil ein wip unvroide machet,A,Gedrut,"BSM 15a,II"
"Syon, trure",J,Der Wilde Alexander,KLD 1 IV
Toͮmit vollen aber tru̍fet,C,Konrad von Würzburg,Schr XX 1
Toͮgenlichen lag verborgen,C,Ulrich von Winterstetten,KLD 59 XIII
"Towig gras, gel brune bluͦmen schoͤne",C,Konrad von Kirchberg,KLD 33 I
Transiit nix et glacies spirante Favonio,M,Namenlos/​Gemischt,CB 113
Tru̍we ist al der werlte ein ere,"C, L",Ulrich von Liechtenstein,KLD 58 XXIII
Uf erde nie kein man gesach so toͮgenliche klosen,C,Konrad von Würzburg,Schr XXXII 8; RSM ¹KonrW/7/8
Uf lieben wan ich alles gan der schonen under oͮgen,C,Ulrich von Winterstetten,KLD 59 Leich I
Uf zwene wege ich kan geritten,C,Heinrich von der Mure,KLD 22 I
Uns jungen mannen mag,C,Gottfried von Neifen,KLD 15 XLI
Uns kumt aber ein liehter meie,C,Otto IV. von Brandenburg,KLD 42 II
Uns tuͦt winter aber leide,C,Der von Obernburg,KLD 40 II
Uns wil ein liehter sumer komen,C,Der von Stadegge,KLD 54 III
Uns wil schiere wol gelingen,A,Leuthold von Seven,"L 51,21"
Urlob hat des sumers brehen,C,Dietmar von Aist,"MF 39,30"
"Urspring bluͦmen, loͮb usdringen",C,Wolfram von Eschenbach,"KLD 69 VI 1; MF 7,11"
Us allen frowen ich mir eine erkande,C,Hiltbolt von Schwangau,KLD 24 XX
Us hoher aventu̍re ein suͤsse werdekeit,C,Wenzel von Böhmen,KLD 65 I
Us rosen brennet man ein wasser; so man daz gemeret,C,Konrad von Würzburg,Schr XXXII 5; RSM ¹KonrW/7/5a
Uss drien stammen: so wirt dryer hande fryd,k,Regenbogen,HMS II 126.1; RSM ¹Regb/1/532a
Uß seyten noch uß rore nymmer rylich lop erclinget,m₂,Konrad von Würzburg,RSM ¹KonrW/7/510b
Uß seyten noch uß rore nymmer rylich lop erclinget,k,Konrad von Würzburg,RSM ¹KonrW/7/510a
"Var hin, verwassen winter lank",C,Der Kanzler,KLD 28 XI
"Veiger winter, hinnen scheide",C,Der Kanzler,KLD 28 IX
"Venus du̍feine, du̍ist entslafen",C,Konrad von Würzburg,Schr II
"Verborgen valsch, heinlich truge, akustig zunge",C,Der Kanzler,KLD 28 III 2; RSM ¹Kanzl/3/2
Verbotten wasser besser sint,C,Albrecht von Haigerloch,"HMS I, 63; RSM ¹AlbrH/2"
Verholnu̍minne sanfte tuͦt,C,Ulrich von Winterstetten,KLD 59 XXIX
"Vil cluge meinster sprechent, daz sie nemme michel wunder",k,Konrad von Würzburg,RSM ¹KonrW/7/504a
"Vil lieber sumer, swaz ich ie",C,Rubin,KLD 47 IV
Vil liebu̍sumerwunne,C,Rubin,KLD 47 X. XI
"Vil selig Minne, hab ich nu getan","C, L",Ulrich von Liechtenstein,KLD 58 XI
"Vil suͤsse Minne, du hast mich so betwungen",C,Der von Suonegge,KLD 57 III
Virent prata hiemata,M,Namenlos/​Gemischt,CB 151
Von der zinnen,C,Wolfram von Eschenbach,"KLD 69 V 1; MF 6,10"
Von der zinnen,B,Namenlos/​Gemischt,"KLD 69 V 1; MF 6,10"
Von got ein magt erkorn,C,Walther von Breisach,KLD 63 III
Von Kunzechen her Wahsmuͦt,A,Gedrut,KLD 13 Ia
Von sorgen wande ich ledig sin,"B, C",Hiltbolt von Schwangau,KLD 24 XII
Von Walhen fuͦr ein pilgerin mit sinem koͤtzeline,C,Gottfried von Neifen,KLD 15 XL
Vorhte unde schamendes herzen ger,C,Konrad von Würzburg,Schr XXV 2; RSM ¹KonrW/5/1a
"Vroͤit u̍ch, stolzen leigen",C,Der Kanzler,KLD 28 XV
"Vrowe aller vroude, ich love an dir, daz tuns den got gebere",M₂,Namenlos/​Gemischt,Schr XXXII 4; RSM ¹KonrW/7/4e
Vu̍r alle fuͦge ist edel sang getu̍ret unde geheret,C,Konrad von Würzburg,Schr XXXII 21; RSM ¹KonrW/7/21a
Wa gesan ie mannes oͮgen,C,Wachsmut von Mühlhausen,KLD 61 III
"Wa nu froͤide, wa nu ere",C,Ulrich von Liechtenstein,KLD 58 LIX
"Wa sint nuͦalle, die von minnin sungin e",D,Namenlos/​Gemischt,KLD 44 IV 13; RSM ¹ReiBr/13
Wa wil du̍kugel nu geligen,C,Der Schulmeister von Esslingen,KLD 10 II 2; RSM ¹Schulm/1/3
Wafen si geschrijet,C,Schenk von Limburg,KLD 34 IV
Wafen uber der Minne rat,C,Rubin,KLD 47 XIX
Wafen uber die gar unguͦten,"C, L",Ulrich von Liechtenstein,KLD 58 XLV
"Wafen uber die schande si geschrîet, du̍vil eren vriet",C,Konrad von Würzburg,Schr XXXI 3; RSM ¹KonrW/6/3-4
"Wafen, wie bin ich gescheiden",C,Schenk von Limburg,KLD 34 III
Wafena! wie hat mich minne gelassen,C,Friedrich von Hausen,"MF 52,37"
Walt hat sich mit kleiden schône gegestet,C,Der Schulmeister von Esslingen,KLD 10 VI
Walt unde oͮwe unde du̍heide,C,Ulrich von Winterstetten,KLD 59 XXXIII
"Walt unde oͮwe, daz gevilde",C,Konrad von Kirchberg,KLD 33 IV
"Walt, heide, anger, vogelsingen",C,Gottfried von Neifen,KLD 15 V
"Wan sagent ir mir, vro Minne",C,Der von Buchein,KLD 5 V 1; RSM ¹Buch/1
Wan singet minnewise da ze hove unde in mime schalle,A,Gedrut,KLD 13 II
Wan singet minnewise da ze hove unde inme schalle,C,Geltar,KLD 13 II
Wan sol sich gegen dem tage gesten,C,Burggraf von Lienz,KLD 36 II
"Warnet u̍ch gar, junge unde alde","C, L",Ulrich von Liechtenstein,KLD 58 XXXV
Wart ane wandel ie kein wib,C,Dietmar von Aist,"MF 40,19"
Wart ich ie von guͦtem wibe,C,Engelhart von Adelnburg,"MF 148,1"
Wart ie besser iht fu̍r ungemuͤte danne wibes guͤte,C,Konrad von Würzburg,Schr XXXI 6; RSM ¹KonrW/6/6a
"Was dar umbe, unde ist verswunden","C, L",Ulrich von Liechtenstein,KLD 58 L
Was der winter sorgen bringe,C,Gottfried von Neifen,KLD 15 XXXVI
Was froͤit mich der vogelin guͤte,C,Gottfried von Neifen,KLD 15 XXIX
Was hat du̍welt ze gebenne me,C,Heinrich III. von Meißen,KLD 21 V
Was hat mich uf si gebunden,C,Burkhard von Hohenfels,KLD 6 XII
"Was hilfet mich, das ich ze froͤmden froͤiden var",C,Walther von Mezze,KLD 62 VI
"Was hilfet mich, das ich ze vroͤmden vroͤden var",B,Reinmar,KLD 62 VI
"Was ist fu̍r das truren guͦt, das wip nach lieben manne hat","B, C",Dietmar von Aist,CB 113a; MF 32
"Was mag das sin, das du̍welt haisset minne","B, C",Friedrich von Hausen,"MF 53,15"
"Was mich, vrouwe, an vruden yrret",S,Namenlos/​Gemischt,"L 52,7-14 + L 50,11-12"
"Was solt erbermde, ob niender su̍ndic mensche were",C,Der Kanzler,KLD 28 III 4; RSM ¹Kanzl/3/4
Was vervahet mich des wunnenklichen meigen zit,C,Gottfried von Neifen,KLD 15 XII
Waz hat mich du̍liebe zit vervangen,"A, C",Wachsmut von Künzingen,KLD 60 VI
"Waz hilfet mich, daz ich zu vromeden vroͮden var",D,Namenlos/​Gemischt,KLD 62 VI
Waz in dem paradys ie wart gebildet und gemachet,"k, m₂",Konrad von Würzburg,RSM ¹KonrW/7/500c
Waz verzagetes herzen hat min lip,"A, B₂, C",Rudolf von Rotenburg,KLD 49 VII
"We dir, leider winter kalt",C,Der Kanzler,KLD 28 VI
"We dir, winter ungehu̍re",C,Gottfried von Neifen,KLD 15 XVIII
"We dir, winter, daz din twingen",C,Der Kanzler,KLD 28 VIII
"We, daz mir du̍guͦte","C, L",Ulrich von Liechtenstein,KLD 58 VI
"We, war umbe sun wir sorgen","C, L",Ulrich von Liechtenstein,KLD 58 VII
"We, war umbe trurent sie",C,Kunz von Rosenheim,KLD 60 V
"We, warumbe trurent si","A, C",Wachsmut von Künzingen,KLD 60 V
"We, was hilfet al min singen",C,Kunz von Rosenheim,KLD 26
"We, was wunders lit an wiben",C,Gottfried von Neifen,KLD 15 XXII
"We, waz hilfet al min singen",A,Hugo von Mühldorf,KLD 26
Wenne daz ich sinnenclichen tobe,S,Walther von der Vogelweide,KLD 62 IV
"Wer edel, hoech geteurt stain sechen wil",V₁,Regenbogen,RSM ¹Regb/1/101
Wer gesach den winter ie,C,Ulrich von Winterstetten,KLD 59 XXXV
Wer gesach ie wunneklicher me den suͤssen meigen,C,Gottfried von Neifen,KLD 15 VII
Wer kan nu ze danke singen,A,Leuthold von Seven,L 79 I
Wer kan nu ze danke singen,C,Walther von der Vogelweide,"L 110,27"
Wer mir iht bas gelungen,C,Rubin,"KLD 47 X. XI 3, 4,"
Wer nun verholnen minnen phliget,P₁,Namenlos/​Gemischt,KLD 59 IX
Wer sin herze wil instricken,N,Namenlos/​Gemischt,Schr III 1
"Werde knechte, wol ghedenket",S,Namenlos/​Gemischt,KLD 51 IV
Werder gruͦs von vrowen munde,C,Rubin,KLD 47 XIV
Werder gruͦz von frowen munde,A,Walther von der Vogelweide,KLD 47 XIV
Werder gruß von frawen munde,f,Namenlos/​Gemischt,KLD 47 XIV
Wibes guͤte nieman mac,"C, L",Ulrich von Liechtenstein,KLD 58 I
Wichet umbe balde sorge unde angest von der strasse,"C, L",Ulrich von Liechtenstein,KLD 58 XXXIV
"Wichet umbe, lat der guͦten","C, L",Ulrich von Liechtenstein,KLD 58 LVI
Wie gern ich mit den vogeln sunge frolich an dem morgen,k,Konrad von Würzburg,RSM ¹KonrW/7/503a
"Wie kanst du, Minne, mit sorgen die sinne","C, L",Ulrich von Liechtenstein,KLD 58 X
"Wie kom, daz mich ir ougen gruez",A,Namenlos/​Gemischt,KLD 47 II B
Wie kunde leider mir geschehen,"A, C",Rubin,KLD 47 XX
"Wie kunt, das mich ir oͮgen gruͦs",B,Rubin,KLD 47 II B
Wie mag mir ain wip so liep gesin,B,Wachsmut von Künzingen,KLD 60 I
Wie schoͤne unde guͦt si were,C,Hiltbolt von Schwangau,KLD 24 VII
Wie sol ich richen edelen schalk mit valschem muͦt erweschen,C,Konrad von Würzburg,Schr XXXII 16; RSM ¹KonrW/7/16
Wie sol ich selig wib,C,Burkhard von Hohenfels,KLD 6 XIII
Wie solte ich armer der swere getru̍wen,"B, C",Bernger von Horheim,"MF 114,21"
Wie vil ein wip froͤide machet,C,Kunz von Rosenheim,"BSM 15a,II"
Wil ieman nach eren die zit wol vertriben,"C, L",Ulrich von Liechtenstein,KLD 58 XVI
"Wil mir ein wib genedig sin, so wirt min rat",C,Friedrich der Knecht,KLD 11 V
"Wil mir ein wip gnedic sin, so wirt min rat",A,Leuthold von Seven,KLD 11 V
"Wil si bekennen den guͤtlichen willen, den ich gegen ir han","B, C",Hiltbolt von Schwangau,KLD 24 IV
Willekomen si der sumer schoͤne,C,Der Kanzler,KLD 28 VII
Willekomen si der sumer schoͤne,C,Brunwart von Augheim,KLD 4 V
Willekomen si du̍zit,C,Konrad von Würzburg,Schr XXII 1
Willekomen si du̍zit,C,Konrad von Würzburg,Schr XXIX 1
Willekomen si uns der meige,C,Gottfried von Neifen,KLD 15 XXIV
"Winter kalt, din gewalt",C,Der Kanzler,KLD 28 X
Winter leide gruͤne heide,C,Ulrich von Winterstetten,KLD 59 XVII
"Winter uf der heide bluͦmen selwet, der mit vroste velwet",C,Konrad von Würzburg,Schr XXXI 1; RSM ¹KonrW/6/1
Winter unde du̍frowe mîn,C,Der von Stadegge,KLD 54 I
Winter wil uns aber twingen,C,Ulrich von Winterstetten,KLD 59 XXXIV
"Winter, din gewalt",C,Ulrich von Winterstetten,KLD 59 XXII
"Winter, dine kalde rifen",C,Ulrich von Winterstetten,KLD 59 XXVI
"Winter, dine truͤben stunde",C,Otto IV. von Brandenburg,KLD 42 I
"Winter, du kanst swachen",C,Der tugendhafte Schreiber,KLD 53 VI
"Winter, du wilt aber twingen",C,Gottfried von Neifen,KLD 15 XLII
"Winter, du wilt aber vil verderben",C,Gottfried von Neifen,KLD 15 XLVII
"Winter, was hat dir getan",C,Otto IV. von Brandenburg,KLD 42 III
Winters kraft ist aber komen,C,Der Püller,KLD 43 IV
Wir suln aber schone enpfahen,C,Gottfried von Neifen,KLD 15 III
Wir sun den winder,C,Burkhard von Hohenfels,KLD 6 I
"Wissest, daz ich singen wil",C,Rubin,KLD 47 IX
"Wisset alle, daz ich kan","C, L",Ulrich von Liechtenstein,KLD 58 LIV
"Wisset, vroͮwe wol getan","C, L",Ulrich von Liechtenstein,KLD 58 XXXIII
"Wizzet, daz ich singen wil",A,Otto von Botenlauben,KLD 47 IX
Wo wart ie bessers ie vor ungemüte wann reyner wybe güte,k,Konrad von Würzburg,RSM ¹KonrW/6/503a
"Wol ab, der ku̍nig, der git u̍ch niht",C,Der Schulmeister von Esslingen,KLD 10 I 1; RSM ¹Schulm/3/1
Wol becleidet stet du̍heide,C,Ulrich von Winterstetten,KLD 59 XX
Wol den wolgemuͦten wiben,C,Gottfried von Neifen,KLD 15 XXVIII
"Wol dir, meie, wol dir, wunne",C,Der von Buchein,KLD 5 II
"Wol dir, meie, wol dir, wunne",C,Der von Trostberg,"SMS 19,4,I"
"Wol dir, sumer, diner suͤssen","C, L",Ulrich von Liechtenstein,KLD 58 XXXI
"Wol dir, sumer, wie du herest",C,Brunwart von Augheim,KLD 4 IV
"Wol dir, wibes guͤte",C,Der tugendhafte Schreiber,KLD 53 X
"Wol her alle, helfent singen","C, L",Ulrich von Liechtenstein,KLD 58 LII
"Wol her, danket allen guͦten wiben","C, L",Ulrich von Liechtenstein,KLD 58 XXII
"Wol her, kint, ir helfent singen",C,Der von Stadegge,KLD 54 II
"Wol im, dem sin lieb ze liebe ergat",C,Der tugendhafte Schreiber,KLD 53 II
"Wol im, der sin lieb mit vuͦge mag gesehen",C,Rubin,KLD 47 XIII
"Wol ir, si ist ein selig wip",C,Friedrich von Hausen,"MF 54,1"
"Wol mich der sinne, die mir ie gerieten die lere","C, L",Ulrich von Liechtenstein,KLD 58 XII
"Wol mich des sliessens, des si slos",C,Christan von Hamle,KLD 30 V
Wol mich des tages unde oͮch der zit,C,Rudolf von Rotenburg,KLD 49 XI
"Wol mich des tages, der mir alrerst ist worden kunt",C,Reinmar von Brennenberg,KLD 44 IV 4; RSM ¹ReiBr/4a
"Wol mich des, daz ichs ie gesach",C,Hiltbolt von Schwangau,KLD 24 XI
Wol mich dirre stunde,"C, C₁",Schenk von Limburg,KLD 34 I
Wol mich hu̍te unde iemer mere,C,Hugo von Werbenwag,KLD 27 I
"Wol mich hu̍te, wol mich iemer mere",C,Heinrich III. von Meißen,KLD 21 II
Wol mich iemer! min gemuͤte,"C, L",Ulrich von Liechtenstein,KLD 58 XXXVII
"Wol mich, das du̍vil seldenriche ie wart geborn",C,Reinmar von Brennenberg,KLD 44 IV 2; RSM ¹ReiBr/2a
"Wol mich, das ich ze frowen han",C,Markgraf von Hohenburg,KLD 25 II
"Wol mich, das ich ze vrowen han",B,Friedrich von Hausen,KLD 25 II
"Wol mich, daz ich ie den muͦt gewan","A, C",Günther von dem Forste,KLD 17 III
"Wol mich, es ist ergangen","C, L",Ulrich von Liechtenstein,KLD 58 VIII
"Wol mich, wol mich, wol mich des, daz ich da han funden","C, L",Ulrich von Liechtenstein,KLD 58 LV
"Wol, su̍ist ein selig wip","P₁, f",Namenlos/​Gemischt,"MF 54,1"
"Woldann, rayen für den waldt",c,Neidhart,SNE II: c 66 (c 1)
"Wu̍nschent, das min nu̍wes werben","B, C",Leuthold von Seven,KLD 35 III
Wunneclichen sol man schowen,C,Christan von Hamle,KLD 30 III
Wunneklichen hohe min gemuͤte,"C, L",Ulrich von Liechtenstein,KLD 58 XLIII
Wurde ich von der guͦten vro,"A, C",Rubin,KLD 47 XXI
"Ze dienest ir, von der ich han",C,Ulrich von Gutenburg,"MF 69,1"
Zelicliche deme geschiet,A,Namenlos/​Gemischt,KLD 47 IX
Zuͦdem fuhs ein affe sprach,C,Konrad von Würzburg,Schr XVIII 3; RSM ¹KonrW/1/3
Zwelf schacher zeines tu̍rsen hus in einem walde kamen,C,Konrad von Würzburg,Schr XXXII 9; RSM ¹KonrW/7/9
Zwen ich zi alle scouwe,S,Namenlos/​Gemischt,"L 50,35"
Zwo gespilen mere,C,Der von Scharfenberg,KLD 52 II 1; SNE I: R 54 (R III)
[...],B₁,Regenbogen,RSM ¹Regb/1/6
[...],S₁,Namenlos/​Gemischt,KLD 59 Leich IV 12-13
[...] daran sundest du dich,"B, C",Hiltbolt von Schwangau,KLD 24 I
[...] minen kumber,M₁,Namenlos/​Gemischt,KLD 23 II
