;;"SIGLA";"vnum";"repertorio_n";"rubrica_1";"incipit_ms";"inizio";"fine"
"";"Scheda";"p_°Sg_0024";" ";"BEdT 434a,017";"Recepta dexarob.";"De pala atorosela ananun iorn caualcan";"008 v [xx v]";"009 r"
"";"Scheda";"p_°Sg_0025";" ";"BEdT 434a,050";"Estempida.";"Pus chan era e sesmera damar mos fis cors enq(ue)ra";"009 r [xxi r]";"009 v"
"";"Scheda";"p_°Sg_0026";" ";"BEdT 434a,059";"Estempida.";"Si com mi dons es belayre";"009 v [xxi v]";"010 r"
"";"Scheda";"p_°Sg_0027@";" ";"BEdT 434a,069";"Estempida";"Tener uolria lauia cauia";"010 r [xxii r]";"011 v"
"";"Scheda";"p_°Sg_0028@";" ";"BEdT 434a,049";"descort";"Pus amors uol q(ue)u faça sa comanda";"010 r [xxii r]";"010 v"
"";"Scheda";"p_°Sg_0029@";" ";"BEdT 434a,024";"descort.";"Estrayrem uolia de mi dons amar";"010 v [xxii v]";"011 r"
"";"Scheda";"p_°Sg_0030@";" ";"BEdT 434a,051";"desirança";"Pus fis amayre";"011 r [xxiii r]";"011 v"
"";"Scheda";"p_°Sg_0031";" ";"BEdT 434a,008";"Alba.";"Axi con cel canan erra la uia";"011 v [xxiii v]";"011 v"
"";"Scheda";"p_°Sg_0032";" ";"BEdT 434a,019";"Estempida";"Dona de plasença sofrença";"012 r [-]";"012 r"
"";"Scheda";"p_°Sg_0033";" ";"BEdT 434a,025";"libel";"Francs reys humils e cars e damoros senblan";"012 r [-]";"012 v"
"";"Scheda";"p_°Sg_0034";" ";"BEdT 434a,023";"Acuyndamen";"Eras ueyretz motz p(ri)ms e cars";"012 v [-]";"012 v"
"";"Scheda";"p_°Sg_0035";" ";"BEdT 434a,052";"Siruentes";"Pus li rey laxon la ley e p(re)tz e ualor en destric";"012 v [-]";"013 r"
"";"Scheda";"p_°Sg_0036";" ";"BEdT 434a,028";".Siruentes.";"Hom no pot far siruentes mas siruen";"013 r [xxv r]";"013 v"
"";"Scheda";"p_°Sg_0037";" ";"BEdT 434a,068";".Uers breu.";"Tart fa hom mal pus sia entre bonas gens";"013 v [xxv v]";"013 v"
"";"Scheda";"p_°Sg_0038";" ";"BEdT 434a,068";"Uers estrayn";"Taflamart sa flama o flomon maflamal";"013 v [xxv v]";"014 r"
"";"Scheda";"p_°Sg_0039";" ";"BEdT 434a,014";".lo uers del destretg.";"Com fis destreitz qui nos pot cosseyllar";"014 r [-]";"014 v"
"";"Scheda";"p_°Sg_0040";" ";"BEdT 434a,016";"lo uers dela lengua.";"Dels lays dels auzelos";"014 v [-]";"014 v"
"";"Scheda";"p_°Sg_0041";" ";"BEdT 434a,067";"lo uers dels bes descouinens.";"Tan fol cuion q(ue)sia couinenz";"014 v [-]";"015 r"
"";"Scheda";"p_°Sg_0042";" ";"BEdT 434a,043";"lo uers gros e soptil";"Obra sobtil p(ri)m e trasforia";"015 r [x... r]";"015 r"
"";"Scheda";"p_°Sg_0043";" ";"BEdT 434a,080";"Canço";"Us.an.chan.an.pe.san.dre.çan.ri.man.";"015 v [x... v]";"015 v"
"";"Scheda";"p_°Sg_0044";" ";"BEdT 434a,022";"lo uers q(ue) ditz p(er)q(ue) auia celatz tan los uers e las xanços";"Entrels reys els baros";"015 v [x... v]";"016 r"
"";"Scheda";"p_°Sg_0045";" ";"BEdT 434a,057";"lo uers del saig e del ioglar.";"Si cel q(ue) ditz entre saig e Iutglar";"016 r [x... r]";"016 r"
"";"Scheda";"p_°Sg_0046";" ";"BEdT 434,013";".lo uers del comte derodes.";"Si tot ses braus layrs. el mes";"016 r [x... r]";"016 v"
"";"Scheda";"p_°Sg_0047";" ";"BEdT 434a,042";"lo uers meraueylos.";"Nuylls hom no pot tan bo mot com no dir";"016 v [x... v]";"016 v"
"";"Scheda";"p_°Sg_0048";" ";"BEdT 434,002";"la canço deles letres.";"A uos me suy bona domna donatz";"017 r [xx... r]";"017 r"
"";"Scheda";"p_°Sg_0049";" ";"BEdT 434a,031";"lo uers del eniana pastor";"Man semblon leniana pastor";"017 r [xx... r]";"017 v"
"";"Scheda";"p_°Sg_0050";" ";"BEdT 434a,006";"lo uers dels desplazens e dels uilas.";"Us uers faray q(ue) playra als plasenz";"017 v [xx... v]";"018 r"
"";"Scheda";"p_°Sg_0051";" ";"BEdT 434a,030";"lo uers de paradis e dinfern";"Li caualer e li p(re)zicador";"018 r [xxx r]";"018 r"
"";"Scheda";"p_°Sg_0052";" ";"BEdT 434a,015";"lo uers dela hostia.";"De deu nos deu nuyll hom maraueyllar";"018 v [xxx r]";"018 v"
"";"Scheda";"p_°Sg_0053";" ";"BEdT 434a,041";".lo uers del Rey de Maylorca.";"Nuylls hom sauis no deu seynor p(re)yar";"018 v [xxx r]";"019 r"
"";"Scheda";"p_°Sg_0054";" ";"BEdT 434a,009";"lo uers [...] | repentir";"Axi com cel q(ui) ditz q(ue)l uis es fortz";"019 r [xxx... r]";"019 r"
"";"Scheda";"p_°Sg_0055";" ";"BEdT 434,001";"lo u(er)s de falsa femna";"Agreu pot hom conoixer en la mar";"019 r [xxx... r]";"019 v"
"";"Scheda";"p_°Sg_0056";" ";"BEdT 434a,076";"-";"Una re dey a deu grazir";"019 v [xxx... v]";"019 v"
"";"Scheda";"p_°Sg_0057";" ";"BEdT 434a,027";"canço";"Greus dolors es entre dos fis amans";"020 r [xxx... r]";"020 r"
"";"Scheda";"p_°Sg_0058";" ";"BEdT 434a,021";".lo uers humil.";"En lors chantars dizon man trobador";"020 r [xxx... r]";"020 v"
"";"Scheda";"p_°Sg_0059";" ";"BEdT 434a,001";"Canço";"A greu sera nuylls hom fals ne trazire";"020 v [xxx... v]";"020 v"
"";"Scheda";"p_°Sg_0060";" ";"BEdT 434a,046";"lo uers turmentat";"Fols amans ditz camors tan lo destreyn";"020 v [xxx... v]";"021 r"
"";"Scheda";"p_°Sg_0061";" ";"BEdT 434,011";"Mig uers e miga canço";"Qui bon fruit uol recoyllir be semena";"021 r [xxx... r]";"021 v"
"";"Scheda";"p_°Sg_0062";" ";"BEdT 434a,026";"lo uers dels escolas";"Fyll eras pus en escolas anatz";"021 v [xxx... v]";"021 v"
"";"Scheda";"p_°Sg_0063";" ";"BEdT 434a,075";"Aniu(er)sari";"Ta mal me fay sala";"022 r [xx... r]";"022 r"
"";"Scheda";"p_°Sg_0064";" ";"BEdT 434a,079";"lo uers dels tres reys";"Un uers uuyll nouelament bastir";"022 r [xx... r]";"022 v"
"";"Scheda";"p_°Sg_0065";" ";"BEdT 434a,072";"lo uers del uassayll leyal";"Totz homs fay mal q(ui) ueya en embarch";"022 v [xx... v]";"022 v"
"";"Scheda";"p_°Sg_0066";" ";"BEdT 434a,032";"Mig uers";"Meig uers faray leuger e pla ses força";"022 v [xx... v]";"023 r"
"";"Scheda";"p_°Sg_0067";" ";"BEdT 434a,033";"lo uers delas erbas";"Mon chan comenz dira mesclat ab gaug";"023 r [xxxv r]";"023 v"
"";"Scheda";"p_°Sg_0068";" ";"BEdT 434a,044";"lo uers de paratge";"Paratges a molt p(er)pres";"023 v [xxxv v]";"023 v"
"";"Scheda";"p_°Sg_0069";" ";"BEdT 434a,007";"lo uers reuers";"A tot payre deuria plaser e saber bo";"023 v [xxxv v]";"024 r"
"";"Scheda";"p_°Sg_0070";" ";"BEdT 434a,047";"lo uers leuger.";"Per q(ue) nom daran renda";"024 r [-]";"024 r"
"";"Scheda";"p_°Sg_0071";" ";"BEdT 434a,056";"Mig uers car e uil";"Legons q(ue) ditz e no men aq(ue)st libres";"024 v [-]";"024 v"
"";"Scheda";"p_°Sg_0072";" ";"BEdT 434a,064";"lo uers de tristayn.";"Si tot no say tristanz lamanz (con)q(ue)s";"024 v [-]";"025 r"
"";"Scheda";"p_°Sg_0073";" ";"BEdT 434a,078";"Uers cert senblant de pech";"Un uers ay (com)mençat";"025 r [xxx... r]";"025 r"
"";"Scheda";"p_°Sg_0074";" ";"BEdT 434,004";"lo uers qual se tayn desser cauallers";"Caualers e siruentz";"025 r [xxx... r]";"025 v"
"";"Scheda";"p_°Sg_0075";" ";"BEdT 434a,003";"lo uers del mouto";"Aragues eu atretan dardimen";"025 v [xxx... v]";"026 r"
"";"Scheda";"p_°Sg_0076";" ";"BEdT 434a,037";"lo uers contrarios";"Non cuyauo nuls p(re)sona";"026 r [ xx... r]";"026 r"
"";"Scheda";"p_°Sg_0077";" ";"BEdT 434a,011";"lo uers uerdadier";"Can era paucs auia compaynos";"026 v [xx... v]";"026 v"
"";"Scheda";"p_°Sg_0078";" ";"BEdT 434a,005";"lo uers forçadamen trames.";"La razos ses iay q(ue)l ric croy falc mandada";"026 v [xx... v]";"027 r"
"";"Scheda";"p_°Sg_0079";" ";"BEdT 434a,073";"lo uers desguardar.";"Rotz nobles seyn(er) deuria be gardar";"027 r [-]";"027 r"
"";"Scheda";"p_°Sg_0080";" ";"BEdT 434a,012";"Mig siruentes";"Can aug en cort tritz emazans ebrutz";"027 v [-]";"027 v"
"";"Scheda";"p_°Sg_0081";" ";"BEdT 434a,020";"Seruentes.";"En breu sazo aural jorn p(re)tentori";"027 v [-]";"028 r"
"";"Scheda";"p_°Sg_0082";" ";"BEdT 434a,036";"mig s(er)uentes";"[ N]om pusch de xantar retener";"028 r [-]";"028 v"
"";"Scheda";"p_°Sg_0083";" ";"BEdT 434a,004";"[...]uentes";"[A]ram luyna ioye chan";"028 v [-]";"028 v"
"";"Scheda";"p_°Sg_0084";" ";"BEdT 434a,081";"s(er)uentes";"[V]oletz au(er) be lau entrels ualens";"028 v [-]";"029 r"
"";"Scheda";"p_°Sg_0085";" ";"BEdT 434a,074";"Siruentes";"Trop menug de cortz anar";"029 r [-]";"029 v"
"";"Scheda";"p_°Sg_0086";" ";"BEdT 434a,029";"Siruentes";"Iuglar p(re)c uos ans q(ue) mortz uos aucia";"029 v [-]";"029 v"
"";"Scheda";"p_°Sg_0087";" ";"BEdT 434,007c";"Pastorela";"Entre lerida e beluis";"029 v [-]";"030 r"
"";"Scheda";"p_°Sg_0088";" ";"BEdT 434,007b";"Pastorela";"Entre caldes e penedes";"030 r [x... r]";"030 v"
"";"Scheda";"p_°Sg_0089";" ";"BEdT 434,006b";"Pastorela";"En may can p(er) la calor";"030 v [x... v]";"031 r"
"";"Scheda";"p_°Sg_0090";" ";"BEdT 434,009a";"Pastorela";"Pres dun jardi encontrey laltre dia";"031 r [xli...r]";"031 v"
"";"Scheda";"p_°Sg_0091";" ";"BEdT 434a,062";"lo plant del Rey en iahme";"Sj p(er) tristor p(er) dol ne p(er) cossir";"031 v [xli... v]";"032 r"
"";"Scheda";"p_°Sg_0092";" ";"BEdT 434,007e";"lo plant den .R. de cardona q(ue) feu en cerueri";"Joys ne solaz pascors abrils ne mays";"032 r [xl... r]";"032 v"
"";"Scheda";"p_°Sg_0093";" ";"BEdT 434a,040";"Cobla en .vi. lengatges.";"Nuncha q(ue)rria eu achar";"032 v [xl... v]";"032 v"
"";"Scheda";"p_°Sg_0094";" ";"BEdT 434,007d";"la cobla den cerueri q(ue) sa dona dix q(ue) noli daria un bays | si son pare no lam pregaua.";"Gentils domna uençaus humilitatz";"032 v [xl... v]";"032 v"
"";"Scheda";"p_°Sg_0095";" ";"BEdT 434,009b";"Cobla esparsa den cerueri";"Prometre ses dar es aytals";"033 r [xl... r]";"033 r"
"";"Scheda";"p_°Sg_0096";" ";"BEdT 434,007a";"lo sopni q(ue) fetz en cerueri";"Entrarago e nauarra iazia";"033 r [xl... r]";"033 r"
"";"Scheda";"p_°Sg_0097";" ";"BEdT 434,009c";"Dança balada den cerueri.";"Pus no uey leys cuy sonamics";"033 r [xl... r]";"033 v"
"";"Scheda";"p_°Sg_0098";" ";"BEdT 434,014a";"Siruentes dança den cerueri";"Tant ay el cor dalegrança";"033 v [xl... v]";"033 v"
"";"Scheda";"p_°Sg_0099";" ";"BEdT 434a,034";"Ayço es uiadeyra";"Nol p(re)natz los fals marit ia na delgada";"033 v [xl... v]";"033 v"
"";"Scheda";"p_°Sg_0100";" ";"BEdT 434,001a";"Espingadura den cerueri";"A la pluge al uen iran çels q(ue) muyllers an";"033 v [xl... v]";"034 r"
"";"Scheda";"p_°Sg_0101";" ";"BEdT 434,004a";"Peguesca den cerueri";"Com es tamal enseynada";"034 r [xl... r]";"034 r"
"";"Scheda";"p_°Sg_0102";" ";"BEdT 434a,001a";"Gelosesca";"Al fals gelos don deus malave(n)tura";"034 r [xl... r]";"034 v"
"";"Scheda";"p_°Sg_0103";" ";"BEdT 434a,071";"Dança";"Tot can cors dezira auray sil iorn uey";"034 v [xl... v]";"034 v"
"";"Scheda";"p_°Sg_0104";" ";"BEdT 434a,065";"Balada";"Si uoletz que(n) laix damar ço q(ue) far nos poria";"034 v [xl... v]";"034 v"
"";"Scheda";"p_°Sg_0105";" ";"BEdT 392.B.A.a";"la uida den Riambaut de uaq(ue)yras";"(R)jambaut de uaq(ue)iras si fon fils dun / paubre caua(l)ers de proensa del castel / de Uaq(ue)ras";"035 r [x... r]";"035 v"
"";"Scheda";"p_°Sg_0106";" ";"BEdT 372,004";"Riambaut de uaq(ue)yras";"Bona dona un cosseyll uos deman";"035 v [x{lvii} v]";"035 v"
"";"Scheda";"p_°Sg_0107";" ";"BEdT 392,002";"-";"Eram requer sacustum e son us";"035 v [x{lvii} v]";"036 r"
"";"Scheda";"p_°Sg_0108";" ";"BEdT 331,001";"Riambaut de uaq(ue)yras";"En abril can uey uerdeyar";"036 r [x{lviii} r]";"036 r"
"";"Scheda";"p_°Sg_0109";" ";"BEdT 070,011";"Riambaut de uaq(ue)yras";"Ab xant dauçels comens eu mes xanços";"036 v [x{lviii} v]";"036 v"
"";"Scheda";"p_°Sg_0110";" ";"BEdT 392,028";"Riambaut de uaq(ue)yras";"Sauis e fols humils e erguyllos";"036 v [x{lviii} v]";"037 r"
"";"Scheda";"p_°Sg_0111";" ";"BEdT 392,013";"Riambaut de uaq(ue)yras";"Atressi ay garreiyat ab amor";"037 r [xl{viiii} r]";"037 v"
"";"Scheda";"p_°Sg_0112";" ";"BEdT 392,023";"Riambaut de uaq(ue)yras";"Leu pot hom gaug e p(re)tz auer";"037 v [xl{viiii} v]";"037 v"
"";"Scheda";"p_°Sg_0113";" ";"BEdT 392,009";"Riambaut de uaq(ue)yras.";"Kalenda maya";"037 v [xl{viiii} v]";"038 r"
"";"Scheda";"p_°Sg_0114";" ";"BEdT 392,004";"Riambaut de uaq(ue)yras";"Eras can uey u(er)deyar";"038 r [l r]";"038 v"
"";"Scheda";"p_°Sg_0115";" ";"BEdT 392,004a";"Riambaut de uaq(ue)yras";"Ar pren camgat p(er) tos temps dexantar";"038 v[l v]";"038 v"
"";"Scheda";"p_°Sg_0116";" ";"BEdT 392,024";"Riambaut de uaq(ue)yras.";"Nom alegra yuern ne pascors";"038 v [l v]";"039 r"
"";"Scheda";"p_°Sg_0117";" ";"BEdT 392,III";"-";"(V)alen marq(ue)s seynor d(e) m(on)fer(r)at";"039 r [l{i} r]";"039 vA"
"";"Scheda";"p_°Sg_0117a";" ";"BEdT 392,II";"-";"[U]alen marq(ue)s ia no diretz q(ue) n(on)";"039 vA";"040 rA"
"";"Scheda";"p_°Sg_0117b";" ";"BEdT 392,I";"-";"[U]ale(n) m(ar)q(ue)s no(us) uuyl tot rec(on)tar";"040 rA [l{ii} r]";"040v A"
"";"Scheda";"p_°Sg_0118";" ";"BEdT 010,025";"Riambaut de uaq(ue)yras";"[L]a amor trop ales en que(n) refrayn";"040 vA";"041 r"
"";"Scheda";"p_°Sg_0119";" ";"BEdT 281,004";"Riambaut de uaq(ue)yras";"[E]u say la flor pus bela daltra flor";"041 r [li{ii} r}";"041 v"
"";"Scheda";"p_°Sg_0120";" ";"BEdT 392,018";"Riambaut de uaq(ue)yras";"(G)uerra ne playt (con)tramor no son bo";"041 v";"041 v"
"";"Scheda";"p_°Sg_0121";" ";"BEdT 016,002";"Riambaut de uaq(ue)yras";"(A)b gay sonet leugier";"041v";"042 r"
"";"Scheda";"p_°Sg_0122";" ";"BEdT 392,020";"Riambaut de uaq(ue)yres";"(A)nc no cuyde ueser";"042 r [l{iiii} r]";"042 v"
"";"Scheda";"p_°Sg_0123";" ";"BEdT 392,032";"Riambaut de uaq(ue)yras";"(T)ruan mala guerra sai uolon comensar";"042 v";"043 r"
"";"Scheda";"p_°Sg_0124";" ";"BEdT 015,001";"Riambaut de uaq(ue)yras";"[A]ram diguatz riambaut sius agrada";"043 v";"044 r"
"";"Scheda";"p_°Sg_0125";" ";"BEdT 392,016a";"Riambaut de uaq(ue)yras";"(G)aita ben gaiteta del chastel";"044 r (lv{i} r]";"044 r"
"";"Scheda";"p_°Sg_0126";" ";"BEdT 392,005a";"Riambaut de uaq(ue)yras";"[?]altas undas que uenez suz la mar";"044 r (lv{i} r]";"044 r"
"";"Scheda";"p_°Sg_0127";" ";"BEdT 080,015";"-";"[...]dona per mençonias comtar.";"045 r [l...r°]";"045 r"
"";"Scheda";"p_°Sg_0128";" ";"BEdT 081,001";"Bertran del born";"(C)ant uei lo temps renouelar";"045 r [l...r°]";"046 v"
"";"Scheda";"p_°Sg_0129";" ";"BEdT 242.B.B";".Uida den Guiraut de borneill.";"(U)ertatz es quen Giraut de Borneyll ama/ua una domna de Guascoyna q(ue) era ape/lada Nalamanda";"046 r [-]";"046 v"
"";"Scheda";"p_°Sg_0130";" ";"BEdT 242.B.A";"-";"guiraut de borneyl si fo delemozi delencontrada desidueyll / dun ric castel del uescomtat delemoysi, e fo home de bas afar";"046 v [- ]";"047 r"
"";"Scheda";"p_°Sg_0131";" ";"BEdT 242,031";"Guiraut de borneill.";"de chantar mi for entremes";"047 r [-]";"047 v"
"";"Scheda";"p_°Sg_0132";" ";"BEdT 242,058";"Guiraut de borneill.";"qan creis la fresca fuylles rams";"047 v";"048 r"
"";"Scheda";"p_°Sg_0133";" ";"BEdT 242,047";"Guiraut de borneill.";"(L)os apleis ab qieu sueill";"048 r [lx r]";"048 v"
"";"Scheda";"p_°Sg_0134";" ";"BEdT 242,062";"Guiraut de Borneyll.";"qui chantar sol ni sap de cui";"048 v";"049 r"
"";"Scheda";"p_°Sg_0135";" ";"BEdT 242,016";"Guiraut de borneill.";"era sim fos en grat tengut";"049 r [-]";"049 v"
"";"Scheda";"p_°Sg_0136";" ";"BEdT 242,048";"Guiraut de borneill.";"Mamigam menestra lei";"049 v";"050 r"
"";"Scheda";"p_°Sg_0137";" ";"BEdT 242,043";"Guiraut de borneill.";"Mas con maue(n) dieus mauit";"050 r [lx... r]";"050 r"
"";"Scheda";"p_°Sg_0138";" ";"BEdT 242,072";"Guiraut de borneyll.";"(S)im sentis fizels amics";"050 v";"050 v"
"";"Scheda";"p_°Sg_0139";" ";"BEdT 242,053";"Guiraut de borneill.";"(N)uylla res achantar nom faill";"050 v";"051 r"
"";"Scheda";"p_°Sg_0140";" ";"BEdT 242,001";"Guiraut de borneill.";"a ben chantar conue amars";"051 r [lx... r]";"051 v"
"";"Scheda";"p_°Sg_0141";" ";"BEdT 242,028";"Guiraut de borneill";"car nonay ioi q(ui) maon";"051 v";"052 r"
"";"Scheda";"p_°Sg_0142";" ";"BEdT 242,059";"Guiraut de borneill.";"quant la brunaura ses lucha";"052 r [lx... r]";"052 v"
"";"Scheda";"p_°Sg_0143";" ";"BEdT 242,069";"Guiraut de borneill.";"sieus quier conseill bela miga lamanda";"052 v";"053 r"
"";"Scheda";"p_°Sg_0144";" ";"BEdT 242,080";"Guiraut de borneill.";"(U)n sonet fatz maluais ebo";"053 r [lxv r]";"053 r"
"";"Scheda";"p_°Sg_0145";" ";"BEdT 242,003";"Guiraut de borneill.";"aylas com muer. que as amis";"053 v";"053 v"
"";"Scheda";"p_°Sg_0146";" ";"BEdT 323,001";"Guiraut de borneill.";"abans q(ue) puey blanc sion uert";"053 v";"054 r"
"";"Scheda";"p_°Sg_0147";" ";"BEdT 242,011";"Guiraut de borneill.";"apenas say comensar";"054 r [lx... r]";"054 v"
"";"Scheda";"p_°Sg_0148";" ";"BEdT 242,013";"Guiraut de borneill.";"erai gran ioi quem quem remenbra lamor";"054 v";"054 v"
"";"Scheda";"p_°Sg_0149";" ";"BEdT 242,044";"Guiraut de borneill.";"lautrier el p(ri)mer iorn daost";"055 r [lx... r]";"055 r"
"";"Scheda";"p_°Sg_0150";" ";"BEdT 242,069a";"Guiraut de borneill.";"si ia damor poghes auer lauzor";"055 r [lx... r]";"055 v"
"";"Scheda";"p_°Sg_0151";" ";"BEdT 016,001";"Guiraut de borneill.";"abioi comens mas chansos";"055 v";"056 r"
"";"Scheda";"p_°Sg_0152";" ";"BEdT 010,049";"Guiraut de borneill.";"sieu tant be non ames";"056 r [-]";"056 r"
"";"Scheda";"p_°Sg_0153";" ";"BEdT 213,001a";"Guiraut de borneill.";"al plus leu quieu sai far chansos";"056 r [-]";"056 v"
"";"Scheda";"p_°Sg_0154";" ";"BEdT 330,019a";"Guiraut de borneill.";"(U)n sonet nouel fatz";"056 v";"057 r"
"";"Scheda";"p_°Sg_0155";" ";"BEdT 242,040";"Guiraut de borneill.";"(I)oys e chanz e solatz";"057 r [lx... r]";"057 v"
"";"Scheda";"p_°Sg_0156";" ";"BEdT 242,042";"Guiraut de borneill.";"la flors del uergan";"057 v";"058 r"
"";"Scheda";"p_°Sg_0157";" ";"BEdT 242,034";"Guiraut de borneill.";"gen maten";"058 r [lxx]";"058 v"
"";"Scheda";"p_°Sg_0158";" ";"BEdT 242,036";"Guiraut de Borneyll.";"ges aisi del tot non lais";"058 v";"059 r"
"";"Scheda";"p_°Sg_0159";" ";"BEdT 242,039";"Guiraut de borneyl";"(J)am uai reuenen";"059 r [lx... r]";"059 v"
"";"Scheda";"p_°Sg_0160";" ";"BEdT 242,017";"Guiraut de borneill.";"(E)r auziretz. enchabalitz chantars";"059 v";"060 r"
"";"Scheda";"p_°Sg_0161";" ";"BEdT 242,018";"Guiraut de borneill.";"ben deu en bona cort dir";"060 r [l... r]";"060 v"
"";"Scheda";"p_°Sg_0162";" ";"BEdT 242,068";"Guiraut de borneill.";"senz ualer de pascor";"060 v";"061 r"
"";"Scheda";"p_°Sg_0163";" ";"BEdT 242,019";".Guiraut de borneill.";"ben foroimais dreitz el tenp gen";"061 r [-]";"061 v"
"";"Scheda";"p_°Sg_0164";" ";"BEdT 242,057";"Guiraut de borneill.";"quant bracal brondels el rama";"062 r [lxx... r]";"062 r"
"";"Scheda";"p_°Sg_0165";" ";"BEdT 242,005";"Guiraut de borneill.";"alegrar me uolgren chantan";"062 v";"063 r"
"";"Scheda";"p_°Sg_0166";" ";"BEdT 242,073";"Guiraut de borneill.";"si per mon sobretotz no fos";"063 r [-]";"063 v"
"";"Scheda";"p_°Sg_0167";" ";"BEdT 242,020";"Guiraut de borneill.";"ben mera bels chantars";"063 v";"064 r"
"";"Scheda";"p_°Sg_0168";" ";"BEdT 242,078";"Guiraut de borneill.";"tostemps mi sol";"064 r [-]";"065 r"
"";"Scheda";"p_°Sg_0169";" ";"BEdT 242,030";"Guiraut de borneill.";"de chantar. ab deport";"065 r [-]";"065 v"
"";"Scheda";"p_°Sg_0170";" ";"BEdT 242,025";"Guiraut de borneill.";"bes coue pos ia baizal ram";"065 v";"066r"
"";"Scheda";"p_°Sg_0171";" ";"BEdT 242,049";"Guiraut de borneill.";"nom plai chans de Roysinol";"066 r [-]";"066 r"
"";"Scheda";"p_°Sg_0172";" ";"BEdT 242,070";"Guiraut de borneill.";"sil cor non ministra dreig";"066 v";"066 v"
"";"Scheda";"p_°Sg_0173";" ";"BEdT 242,012";"Guiraut de borneill.";"aquest terminis clars e gens";"066 v";"067 r"
"";"Scheda";"p_°Sg_0174";" ";"BEdT 242,055";"Guiraut de borneill.";"per solatz reueillar";"067 r [-]";"067 v"
"";"Scheda";"p_°Sg_0175";" ";"BEdT 242,054";"Guiraut deborneill.";"obs magra. si mo consentis";"067 v";"068 r"
"";"Scheda";"p_°Sg_0176";" ";"BEdT 242,066";"Guiraut de borneill.";"sera non pueia mos chans";"068 v";"068 v"
"";"Scheda";"p_°Sg_0177";" ";"BEdT 242,046";"Guiraut de borneill.";"lo douz chan dun auzel";"068 v";"069 v"
"";"Scheda";"p_°Sg_0178";" ";"BEdT 242,074";"Guiraut de borneill.";"si sotil sens";"069 v";"070 r"
"";"Scheda";"p_°Sg_0179";" ";"BEdT 242,045";"Guiraut de borneill.";"(L)eu chansoneta uil";"070 r [-]";"070 r"
"";"Scheda";"p_°Sg_0180";" ";"BEdT 242,051";".Guiraut de borneill.";"non puesc sofrir caladolor";"070 v";"071 r"
"";"Scheda";"p_°Sg_0181";" ";"BEdT 242,037";"Guiraut de borneill.";"quant de sobre uoler nom tueill";"071 r [-]";"071 v"
"";"Scheda";"p_°Sg_0182";" ";"BEdT 242,079";"Guiraut de borneill.";"tot soauet e dapas";"071 v";"071 v"
"";"Scheda";"p_°Sg_0183";" ";"BEdT 242,015";"Guiraut de borneill.";"era quan uei reuerdezitz";"072 r [-]";"072 v"
"";"Scheda";"p_°Sg_0184";" ";"BEdT 242,033";"Guiraut de borneill.";"en un chantar. que dei de ses";"072 v";"073 r"
"";"Scheda";"p_°Sg_0185";" ";"BEdT 242,071";"Guiraut de borneill.";"(S)j plagues tant chans";"073 r [-] LXXXV";"073 v"
"";"Scheda";"p_°Sg_0186";" ";"BEdT 242,076";"Guiraut de borneill.";"( )ol camors me pleuis";"073 v";"074 r"
"";"Scheda";"p_°Sg_0187";" ";"BEdT 242,002";"Guiraut de borneill.";"(A) senblan me fai dechazer";"074 r [-]";"074 v"
"";"Scheda";"p_°Sg_0188";" ";"BEdT 242,065";"Guiraut de borneill.";"(S)anc iorn aigui ioi ni solatz";"074 v";"074 v"
"";"Scheda";"p_°Sg_0189";" ";"BEdT 242,060";"Guiraut de borneill.";"pos lo glatz el freitz e la neus";"074 v";"075 r"
"";"Scheda";"p_°Sg_0190";" ";"BEdT 242,024";"Guiraut de borneill.";"(B)en es dreitz pos en tal port";"075 r [-]";"075 v"
"";"Scheda";"p_°Sg_0191";" ";"BEdT 242,041";"Guiraut de borneill.";"(J)ois sia comensamens";"076 r [-]";"076 r"
"";"Scheda";"p_°Sg_0192";" ";"BEdT 242,006";"-";"ab lonor dieu torn en mon chan";"076 v";"076 v"
"";"Scheda";"p_°Sg_0193";" ";"BEdT 242,063";"Guiraut de borneill.";"(S)azo eluec e cor e sen";"077 r [-]";"077 v"
"";"Scheda";"p_°Sg_0194";" ";"BEdT 242,032";"Guiraut de borneill.";"de bels digs menutz frais";"077 v";"078 r"
"";"Scheda";"p_°Sg_0195";" ";"BEdT 242,004";"Guiraut de borneill.";"(A)jtal chansoneta plana";"078 r [-] XC";"078 v"
"";"Scheda";"p_°Sg_0196";" ";"BEdT 242,075";"Guiraut de borneill.";"solatz iois e chantar";"078 v";"078 v"
"";"Scheda";"p_°Sg_0197";" ";"BEdT 242,056";"Guiraut de borneill.";"(P)lanc e sospir. e plor e chan";"079 r [-]";"079 v"
"";"Scheda";"p_°Sg_0198@";" ";"BEdT 242,008";"Guiraut de borneill.";"amars honrars e car teners";"079 v";"080 r"
"";"Scheda";"p_°Sg_0199@";" ";"BEdT 205,004b";"Guiraut de borneill.";"(C)an uei lo dous temps uenir";"080 r [-]";"080 r"
"";"Scheda";"p_°Sg_0200@";" ";"BEdT 242,064";"Guiraut de borneill.";"(R)eys glorios. uerais lums e clardatz";"080 r [-]";" "
"";"Scheda";"p_°Sg_0201";" ";"BEdT 106,014";"Guiraut de borneill.";"ieu sui tan corteza gaita";"080 v";"080 v"
"";"Scheda";"p_°Sg_0202";" ";"BEdT 242,018a";"Guiraut de borneill.";"ben deu hom chastian dire";"080 v";"081 r"
