;;"gen";"rep_n_aut";"autore";"post";"ante";"origine";"identificazione"
"";"Scheda";"6";"BEdT 246";"Guillem de l'Olivier d'Arle";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"La rubrica di sezione del canzoniere ^f 0022 compare come En G. de Lobeuier , a rigore da classificare come BEdT 222, ma considerata per semplicità come pura variante - erronea - di BEdT 246."
"";"Scheda";"6";"BEdT 248";"Guiraut Riquier";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"6";"BEdT 006a";"Aicart";" ";" ";"Italia";"Trovatore italiano, probabilmente novarese, attivo nella seconda metà del sec. 13. E' possibile l'identificazione con BEdT 007 Aicart del Fossat (cfr. anche su questo punto Gresti 1999)."
"";"Scheda";"6";"BEdT 204";"Guillem Anelier de Toloza";" ";" ";"Linguadoca, Contea di Foix";"Circa la collocazione cronologica di massima, risulta decisiva l'indicazione fornita dai modelli metrico musicali utilizzati e soprattitto di BEdT 437,002, che riporta al 13 sec. inoltrato almeno per BEdT 204,003, escludendo una datazione al secondo/terzo decennio dello stesso che sarebbe altrimenti possibile sulla base dei riferimenti interni ai sirventesi (successione di giovani sovrani in Inghilterra e Catalogna-Aragona) ed alla loro ispirazione complessiva, anticlericale e antifrancese."
"";"Scheda";"6";"BEdT 074";"Bertolome Zorzi";" ";" ";"Italia";" "
"";"Scheda";"6";"BEdT 007";"Aicart del Fossat";" ";" ";"non precisabile";"Gresti 1999, sopr. p.344-5 suggerisce che possa essere di origine italiana e forse lo stesso, possibilmente novarese, noto semplicemente come Aicart (BEdT 006) che dibatte con 175a Girart (quasi certamente un Girardo Cavallazzi di Novara)."
"";"Scheda";"6";"BEdT 018";"Alest, lo seigner d'";" ";" ";"Linguadoca, Contea di Foix";"Si tratta di Peire Pelet, cosignore di Alest (Gard), cognato del conte di Rodez [Enrico II] avendone sposato la sorella Delfina (Guida 1983, p.57)."
"";"Scheda";"6";"BEdT 021a";"Amanieu de Sescas";" ";" ";"Guascogna, Comminges, Agenais";"Trovatore di origine guascona (e non catalana, come spesso in passato sostenuto), identificato in particolare da Guida 1999 con un personaggio di una certa rilevanza attestato all'epoca di Edoardo I d'Inghilterra, tra l'ultimo terzo del 13 sec. e i primissimi anni del 14."
"";"Scheda";"6";"BEdT 023a";"Anfos, rei de Castela";" ";" ";"Spagna";"Alfonso X, re di Castiglia e León"
"";"Scheda";"6";"BEdT 038";"Austorc del Boy";" ";" ";"Quercy, Rouergue";"Interlocutore del partimen BEdT 248,074 Seign'en Austorc del Boy, lo coms plazens , composto alla corte di Rodez intorno al 1280."
"";"Scheda";"6";"BEdT 041";"Austorc de Segret";" ";" ";"Linguadoca, Contea di Foix (?)";"Autore di un un solo sirventese politico, avverso a Filippo III e a Carlo d'Angiò, composto all'inizio degli anni 1270, poco dopo la Morte di Luigi IX a Tunisi, e dedicato a Oton II, visconte di Lomagna."
"";"Scheda";"6";"BEdT 050";"Berenguier Trobel";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"6";"BEdT 053a";"Bernart Amoros";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";" "
"";"Scheda";"6";"BEdT 141";"Envejos";" ";" ";"Linguadoca, Contea di Foix (?)";"Personaggio che dibatte con Guiraut Riquier nel partimen 248,014 è molto probabilmente ... il soprannome di un giullare ... di passaggio a Narbona , che non ci è altrimenti noto (Betti 1998, p.121)."
"";"Scheda";"6";"BEdT 069";"Bernart de Tot lo mon";" ";" ";"Quercy, Rouergue (?)";"Prob. un giullare, in contatto col Conte Enrico III di Rodez Jeanroy 1934, p.347 lo dice originario probabilmente di Bruniquel, cant. Monclar, arr. di Montauban, Tarn-et-Garonne."
"";"Scheda";"6";"BEdT 140";"Enric II, Graf von Rodez";" ";" ";"Quercy, Rouergue";" "
"";"Scheda";"6";"BEdT 077";"Bertran Albaric";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"6";"BEdT 085";"Bertran de Paris de Roergue";" ";" ";"Quercy, Rouergue";"Bertran IV di Paris"
"";"Scheda";"6";"BEdT 100";"Bofill";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"6";"BEdT 101";"Bonifaci Calvo";" ";" ";"Italia";" "
"";"Scheda";"6";"BEdT 103";"Lo Bort del rei d'Arago";" ";" ";"Catalogna, Rossiglione (?)";" "
"";"Scheda";"6";"BEdT 115a";"Codolet";" ";" ";"Linguadoca, Contea di Foix (?)";"Interlocutore di GrRiq nella tenzone BEdT 248,011."
"";"Scheda";"6";"BEdT 121";"Dante da Maiano";" ";" ";"Italia";" "
"";"Scheda";"6";"BEdT 266";"Joan Esteve de Bezers";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"6";"BEdT 057";"Bernart d'Auriac";" ";" ";"Linguadoca, Contea di Foix";"Secondo l'obituario pubblicato da Hershon 2001, p.55, è de identificare con un chierico, magister artium, che insegnò nella città per diversi decenni legato all'abitato di Saint Nazaires nelle Corbères (Aude) Hershon non eslude che la famiglia potrewsse essere originaria di Auriac (Tolosa)."
"";"Scheda";"6";"BEdT 397a";"Raimon Ermengau";" ";" ";"Linguadoca, Contea di Foix (?)";" "
"";"Scheda";"6";"BEdT 259";"Jacme Mote d'Arle";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"6";"BEdT 342";"Peire Espaignol";" ";" ";"non precisabile";" "
"";"Scheda";"6";"BEdT 342a";"Peire d'Estanh";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"6";"BEdT 357";"Peire Salvatge";" ";" ";"Catalogna, Rossiglione";" "
"";"Scheda";"6";"BEdT 358";"Peire Torat";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"6";"BEdT 359";"Peire Trabustal";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"6";"BEdT 380";"Pons Santolh de Toloza";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"6";"BEdT 381";"Ponson";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"6";"BEdT 336";"Peire de Castelnou";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"6";"BEdT 396";"Raimon de Castelnou";" ";" ";"Linguadoca, Contea di Foix (?)";" "
"";"Scheda";"6";"BEdT 325";"Peire III d'Arago";" ";" ";"Catalogna, Rossiglione";"Con lo stesso Pietro III è stato identificato il Peire che promuove lo scambio di coblas BEdT 322b,001: cfr. BEdT 322b."
"";"Scheda";"6";"BEdT 400";"Raimon Feraut";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"Autore della Vida de saint Honorat , nella quale ricorda una propria canzone in memoria di Carlo II d'Angiò, re di Napoli."
"";"Scheda";"6";"BEdT 401";"Raimon Gaucelm de Beziers";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"6";"BEdT 403";"Raimon Izarn";" ";" ";"Linguadoca, Contea di Foix (?)";"Interlocutore nel partimen a più voci BEdT 248,077 Seign'en Jorda, si.us manda Livernos."
"";"Scheda";"6";"BEdT 405";"Raimon Menudet";"1289";" ";"Linguadoca, Contea di Foix";"Radaelli 1995: autore non identificabile compone un planh per la morte di Daude (Déodat) di Boussagues, castrum della diocesi di Béziers tra i signori di questo nome, quello in questione sembra essere quello ancora in vita nel 1289"
"";"Scheda";"6";"BEdT 415";"Rainaut de Tres Sauzes";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"6";"BEdT 423";"Ricauz Bonomel, fraire del Temple";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"cfr. n.439 e 312"
"";"Scheda";"6";"BEdT 427";"Rostaing Berenguier, de Marseilla";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"6";"BEdT 434";"Serveri de Girona";" ";" ";"Catalogna, Rossiglione";" "
"";"Scheda";"6";"BEdT 434a";"Serveri de Girona";" ";" ";"Catalogna, Rossiglione";" "
"";"Scheda";"6";"BEdT 383";"Pouzet";" ";" ";"non precisabile";"Interlocutore di Guillem Raimon de Gironela nella tenzone BEdT 230,001a Del joi d'amor agradiu . Potrebbe anche trattarsi di un giullare. Di certo nella discussione difende l'opinione meno cortese e più concreta."
"";"Scheda";"6";"BEdT 304";"Monge de Foissan";" ";" ";"Catalogna, Rossiglione";" "
"";"Scheda";"6";"BEdT 268";"Joan Miraillas";" ";" ";"Linguadoca, Contea di Foix";"Interlocutore di Raimon Gaucelm di Beziers nella tenzone BEdT 401,006."
"";"Scheda";"6";"BEdT 272";"Jordan (IV, de L'Isle-Jourdain)";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"6";"BEdT 290";"Luquet Gatelus";" ";" ";"Italia";" "
"";"Scheda";"6";"BEdT 293a";"Marcabru II";" ";" ";"Italia";" "
"";"Scheda";"6";"BEdT 296";"Marques";" ";" ";" ";"L'autore di BEdT 296,002 ed il co-autore di BEdT 248,054 (= 296,003) è certamente da identificare col potente signore Marques de Canilhac (su cui Guida 1983, sopr. p.39-50 e Perugi 1985, p.170-1) è invece altamente incerta la partenità di BEdT 296,001."
"";"Scheda";"6";"BEdT 297";"Matfre Ermengau";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"6";"BEdT 299";"Matieu de Caerci";" ";" ";"Quercy, Rouergue";" "
"";"Scheda";"6";"BEdT 300";"Miquel de Castillo";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"6";"BEdT 341";"Peire Ermengau";" ";" ";"Linguadoca, Contea di Foix";"Fratello di Matfre Ermengau."
"";"Scheda";"6";"BEdT 300a";"Miquel de la Tor";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";" "
"";"Scheda";"6";"BEdT 439";"Templier (us cavaliers del Temple)";" ";" ";"non precisabile";"Autore di una canzone di Crociata, scritta forse in Oriente, e databile alla metà degli anni 1260, tra le due Crociate di San Luigi e prima di quest'ultima, forse prima che si spargessero notizie della vittoria di Carlo d'Angiò a Benevento e della caduta di Manfredi (febbraio 1266).Cfr. BEdT 423 ( Rigaut Bonomel, cavalier del temple , rubrica sotto la quale si legge, nel canz. a1, il lamento 439,001) cfr. 312 (Olivier lo Templier). Pillet sembra essere rimasto in dubbio circa l'identificazione dei due Templari, Rigaut Bonomel e Olivier."
"";"Scheda";"6";"BEdT 308";"Motet";" ";" ";" ";" "
"";"Scheda";"6";"BEdT 309";"N'At de Mons";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"6";"BEdT 312";"Olivier lo Templier";" ";" ";"non precisabile";"Autore di una canzone di Crociata, composta nell'imminenza della seconda Crociata di San Luigi e forse in Catalogna Olivier potrebbe essere stato coinvolto nei progetti di Crociata di Giacomo I d'Aragona."
"";"Scheda";"6";"BEdT 317";"Paul Lanfranc, de Pistoia";" ";" ";"Italia";" "
"";"Scheda";"6";"BEdT 318";"Paulet";" ";" ";"attribuzione";"identificato con Paulet de Marseilla, BEdT 319."
"";"Scheda";"6";"BEdT 319";"Paulet de Marseilla";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"6 (?)";"BEdT 322b";"Peire";" ";" ";"Catalogna, Rossiglione";"E' stata proposta la sua identificazione con Pietro III d'Aragona, ipotesi formulata da Riquer e accolta successivamente da Cluzel. Cfr. BEdT 325."
"";"Scheda";"6 @";"BEdT 322a";"Peire";" ";" ";" ";" "
"";"Scheda";"6 @";"BEdT 175a";"Girart";" ";" ";"Italia";"Girardo Cavallazzi di Novara"
"";"Scheda";"6: senhal";"BEdT 412";"Rainart";" ";" ";"Quercy, Rouergue: senhal";"Senhal o epiteto designante Austorc del Boy nella tenzone BEdT 248,074, v.41."
"";"Scheda";"6: variante di nome";"BEdT 222";"Guillem de Lobevier";" ";" ";"Provenza, Delfinato, Viennese, Valentinese: variante di nome";"Trovatore in realtà inesistente. Il nome compare come puro errore per G. de l'Olivier nella rubrica di sezione del canzoniere ^f 0022. Nella schedatura del ms., si è considerata la rubrica En G. de Lobeuier , a rigore da classificare come BEdT 222, come pura variante - erronea - di BEdT 246."
"";"Scheda";"attribuzione";"BEdT 086";"Bertran de Pessars";" ";" ";"non precisabile: attribuzione";"Nome che compare solo come titolare di una micro-sezione di due testi nel canzoniere di Bernart Amoros (oggi ^a2: 0217-0218), in realtà entrambi da assegnare con sicurezza ad altri autori (rispettivamente BEdT 183,011 del Conte di Poitiers e BEdT 293,015 di Marcabru) cfr. 088 Bertran de Preissac, col quale forse confonde. Va rilevato che il vers BEdT 293,015 compare nella tavola di °C con l'attribuzione alternativa a Bertran de Saissac."
"";"Scheda";"attribuzione";"BEdT 221";"Guillem de Lemotjas";" ";" ";"Limosino, Marche";"Attribuzione del solo °C 1093 per BEdT 335,021."
"";"Scheda";"attribuzione";"BEdT 218";"Guillem Gasmar";" ";" ";"non precisabile: attribuzione";" "
"";"Scheda";"attribuzione";"BEdT 212";"Guillem de Bussignac";" ";" ";"Poitou, Saintonge, Périgord";"Attribuzione alternativa presente nella sola tav. di °C per BEdT 332,001."
"";"Scheda";"attribuzione";"BEdT 207";"Guillem de la Bacalaria";" ";" ";"Limosino, Marche";"Attribuzione presente solo in °R e come alternativa nella tav. di °C per la canzone BEdT 449,003 Per grazir la bon'estrena (assegnata a BEdT 449 Uc de la Bacalaria sulla base del solo °C e con l'appoggio indiretto di altri testi attribuiti a quest'ultimo trovatore)."
"";"Scheda";"attribuzione";"BEdT 191";"Gui";" ";" ";"non precisabile: attribuzione";"In realtà in alcuni casi identificabile con sicurezza con Gui de Cavaillo, BEdT 192 altrove la designazione in rubrica si riferisce a Gui d'Uisel (BEdT 194)."
"";"Scheda";"attribuzione";"BEdT 177a";"Graf (Comte)";" ";" ";"non precisabile: attribuzione";"Sigla utilizzata per individuare alcune attribuzioni presenti nei mss. e anche BEdT 240,006a (dove anzi dovrebbe costituire la sigla identificativa principale del testo)."
"";"Scheda";"attribuzione";"BEdT 146";"Faidit de Belestar";" ";" ";"Linguadoca, Contea di Foix (?)";"Trovatore noto solo attraverso alcune attribuzioni di testi di paternità contesa e controversa, assegnati nei repertori ad altri autori: °H e °T (°T3) gli assegnano la canzone BEdT 421,009 Tot atressi / cum la clartatz del dia, mentre la sola tavola antica di °C gli ascrive BEdT 030,005 Aissi com cel que tem qu'amors l'aucia in alternativa all'attribuzione di base a Arnaut de Maruelh e in concorrenza con un'ulteriore attribuzione a Perdigo. Il luogo di origine è individuato da Jeanroy 1934, p.365 con Bélesta, c. de Lavenalet, arr. de Foix ."
"";"Scheda";"attribuzione";"BEdT 141a";"Escudier de la Ilha";" ";" ";"Provenza, Delfinato, Viennese, Valentinese (?)";"Nome che compare solo in un'attribuzione alternativa della prima tavola di C (n. 0468) per BEdT 276,001 cfr. innanzitutto proprio BEdT 276, ma anche la patria da riconoscere sotto l'indicazione apposta dal compilatore del canzoniere è dubbia, quando si pensi alla presenza tra i trovatori di Jordan (IV, de L'Isle-Jourdain) (BEdT 272)."
"";"Scheda";"attribuzione";"BEdT 013";"Albert";" ";" ";"non precisabile: attribuzione";" "
"";"Scheda";"attribuzione";"BEdT 090";"Bertran de Saissac";" ";" ";"Linguadoca, Contea di Foix";"Il vers BEdT 293,015 compare nella tavola di °C con l'attribuzione alternativa a Bertran de Saissac. Va rilevato che esso figura in ^a2 come parte di una micro-sezione assegnata a Bertran de Pessars. Cfr. anche Bernart de Saissac, che BdT ritiene debba essere identificato con sicurezza con Bertran de Saissac."
"";"Scheda";"attribuzione";"BEdT 247";"Guiraut de Quintinac / Quentinhac";" ";" ";"Limosino, Marche (?)";"Attribuzione del solo ~alpha per BEdT 034,002 e BEdT 392,027. Cfr. Appel, BnVentadorn, 285 Guida 1997b, p.187-8 (Quintinhac è variante per Tintinhac attestata a livello documentario). Cfr. BEdT 034. Un personaggio omonimo è però attestato nel sec. XIII come legato al conte Raimondo Berengario V di Provenza. Cfr. anche BEdT 228."
"";"Scheda";"attribuzione";"BEdT 064";"Bernart del Poget";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"cfr. BEdT 087 Bertran del Poget. La forma Bernart compare in °F 0151, seguita immediatamente da un'altra a Bertran è probabile si tratti anche solo di una svista del copista, visto che la commette in condizioni identiche anche nella sezione immediatamente successiva con Bernart / Bertran d'Alamanon."
"";"Scheda";"attribuzione";"BEdT 061";"Bernart Espanhol";" ";" ";"non precisabile: attribuzione";" "
"";"Scheda";"attribuzione";"BEdT 037a";"Augier de Saint Donat";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"attribuzione";"BEdT 036";"Audoi";" ";" ";"non precisabile: attribuzione";" "
"";"Scheda";"attribuzione";"BEdT 032a";"Arnaut de Quentinac";" ";" ";"Limosino, Marche (?)";"Questo nome compare nell'attribuzione del solo °C 1060-1 per BEdT 034,002 e BEdT 034,003, assegnate a Arnaut de Tintignac: si tratta di una pura variante? BEdT 034."
"";"Scheda";"attribuzione";"BEdT 021b";"Amigon";" ";" ";"non precisabile: attribuzione";"Trovatore il cui nome compare esclusivamente nell'attribuzione del solo °G 0172 di BEdT 432,002."
"";"Scheda";"attribuzione";"BEdT 014a";"Albert Bernart de Durfort";" ";" ";"Quercy, Rouergue (?)";"Personaggio ipotetico, al quale Schultz-Gora 1883, p.181, con cui concorda Müller 1899, p.48, propone di attribuire BEdT 173,001a. L'ipotesi non ha avuto ulteriore seguito: cfr. scheda BEdT 173,001a."
"";"Scheda";"attribuzione";"BEdT 014";"Abertet Cailla";" ";" ";"Linguadoca, Contea di Foix";"Secondo la breve vida antica (BEdT 014.B.A, trasmessa solo da °I °K) questo sfuggente personaggio sarebbe stato un giullare originario dell'Albigese, che avrebbe svolto la sua attività in questa sola regione ( el non issi de la soa encontrada )."
"";"Scheda";"attribuzione";"BEdT 013a";"Albertet";" ";" ";"non precisabile: attribuzione";" "
"";"Scheda";"attribuzione";"BEdT 124a";"Donna de Toloza";" ";" ";"Linguadoca, Contea di Foix";"Attribuzione nel solo °M 0345 per BEdT 046,002 A chantar m'er de so qu' eu no volria della Contessa de Dia."
"";"Scheda";"attribuzione";"BEdT 281a";"Lanfranc";" ";" ";"attribuzione";" "
"";"Scheda";"attribuzione";"BEdT 404a";"Raimon Jordan de Cofenolt";" ";" ";"Poitou, Saintonge, Périgord (?)";" "
"";"Scheda";"attribuzione";"BEdT 399";"Raimon Estaca";" ";" ";"attribuzione";" "
"";"Scheda";"attribuzione";"BEdT 387";"Raimbaudet";" ";" ";"non precisabile: attribuzione";" "
"";"Scheda";"attribuzione";"BEdT 360";"Peire d'Ugon (= Perdigon)";" ";" ";"attribuzione";" "
"";"Scheda";"attribuzione";"BEdT 354a";"Peire Raimon";" ";" ";"attribuzione";" "
"";"Scheda";"attribuzione";"BEdT 347";"Peire Luzer";" ";" ";"attribuzione";"Attribuzione presente nel solo canz. °R (e nella sua tav. antica) per BEdT 356,006 Per far esbaudir mos vezis si può trattare di una mera variante erronea banale per Peire Rogier ."
"";"Scheda";"attribuzione";"BEdT 343a";"Peire Guillem";" ";" ";"attribuzione";"Capusso 1996 suggerisce che autore di 345,I non sia \345 PGlTol, ma un altro Peire Guillem Bertran Carbonel nel planh 082,015 compiange la scomparsa di un P. G. ( Pey Guillem ?: la prosodia richiede comunque una misura di tre sillabe) contro un personaggio indicato identicamente come P.G. , con le sole iniziali ( .P. / ponchat et enapres un .G. ) è indirizzato di reprimenda personale e di ammonimento un sirventese dello stesso Bertran Carbonel (082,018).Circa i Peire Guillem nella tradizione trobadorica cfr. anche Rieger (D.) 1980b, p.52, n.10."
"";"Scheda";"attribuzione";"BEdT 336b";"Peire de Cazals";" ";" ";"attribuzione";" "
"";"Scheda";"attribuzione";"BEdT 333";"Peire Camor";" ";" ";"Linguadoca, Contea di Foix";"Attribuzione del solo °C 1113 per BEdT 330,007. Questo trovatore è stato identificato con uno dei fondatori del Consistori di Tolosa nel 1323 su questa base, è stata accettata l'attribuzione di 330,007 a PBremRN secondo la testimonianza di °Da°I°K."
"";"Scheda";"attribuzione";"BEdT 227a";"Guillem Peire";" ";" ";"non precisabile: attribuzione";"Attribuzione presente nei canz. °Da e °Dc per il sirventese BEdT 345,002."
"";"Scheda";"attribuzione";"BEdT 328a";"Peire de Brau";" ";" ";"attribuzione";"Attribuzione presente come alternativa nella sola tav. antica di °C per BEdT 328,001 En est so fatz chansoneta novela (data nel canz. a BEdT 450 Uc Brunet). E' possibile che si tratta di una mera variante per BEdT 328 Peire de Blai, nome sotto il quale la canzone compare nel canz. °M e che è stato ritenuto nei repertori e dalla critica."
"";"Scheda";"attribuzione";"BEdT 228";"Guillem de Quintenac";" ";" ";"attribuzione";"Attribuzione alternativa presente solo nella tav. di °C per BEdT 070,030. Cfr. BEdT 034 e BEdT 247."
"";"Scheda";"attribuzione";"BEdT 275";"Jordan de Cofolen";" ";" ";"Poitou, Saintonge, Périgord";"v. BEdT 273 Jordan Bonel de Cofolen"
"";"Scheda";"attribuzione";"BEdT 274";"Jordan de Born";" ";" ";"Poitou, Saintonge, Périgord";" "
"";"Scheda";"attribuzione";"BEdT 264";"Joan Aguila";" ";" ";"non precisabile: attribuzione";" "
"";"Scheda";"attribuzione";"BEdT 263a";"Joan";" ";" ";"non precisabile: attribuzione";" "
"";"Scheda";"attribuzione";"BEdT 260";"Jaufre";" ";" ";"non precisabile: attribuzione";"Compare in alcune attribuzioni: p_^a2__0293 (BEdT 132,007a)."
"";"Scheda";"attribuzione";"BEdT 257b";"Jacme Escriva";" ";" ";"non precisabile: attribuzione";"attribuzione presente nel solo canz. VeAg per una canone di Uc de Saint Circ, BEdT 457,040"
"";"Scheda";"attribuzione";"BEdT 257a";"Jacme";" ";" ";"non precisabile: attribuzione";"attribuzione per BEdT 258."
"";"Scheda";"attribuzione";"BEdT 251";"Imbert de Castelnou";" ";" ";"attribuzione";"Attribuzione aternativa della sola tav. di °C per BEdT 396,002 e BEdT 396,004."
"";"Scheda";"attribuzione";"BEdT 457a";"Ugo";" ";" ";" ";"Forma utilizzata in rubriche attributive dei canzonieri: non è che una variante flessionale di Uc ?"
"";"Scheda";"attribuzione";"BEdT 329a";"Peire Bremon";" ";" ";"attribuzione";"Il nome doppio Peire Bremon è tra l'altro caratteristico nella famiglia dei signori d'Anduza."
"";"Scheda";"4: senhal";"BEdT 238";"Guionet";" ";" ";"Provenza, Delfinato, Viennese, Valentinese: senhal";"da identificare con propende per Gui de Cavaillon, BEdT 192 cfr. Appel 1920, p.111-2, confermato da Brusoni 1998."
"";"Scheda";"4: senhal";"BEdT 142";"Esperdut";" ";" ";"Provenza, Delfinato, Viennese, Valentinese: senhal";"Pseudonimo di Gui de Cavaillon, BEdT 192 (cfr. Appel 1920, p.111-2 e Brusoni 1998a)."
"";"Scheda";"4: senhal";"BEdT 105";"Cabrit";" ";" ";"Provenza, Delfinato, Viennese, Valentinese: senhal";"Si tratta quasi certamente di un senhal che nasconde Gui de Cavaillo (BEdT 192): cfr. Appel 1920, p.111-2, Guida 1973 e 1987, Brusoni 1998 e 1998a. Tuttavia Aurell 1989, p.76-7 segnala un Cabrit appartenente al patriziato di Arles agli inizi del sec. 13 e morto prima del 1225 in seguito, nel 1237 un Guillem Cabrit figura tra i testimoni di una donazione operata da Ferraria, moglie di Pons de Lamanon."
"";"Scheda";"5: solo nominato";"BEdT 089";"Bertran lo Ros";" ";" ";"non precisabile: solo nominato";" "
"";"Scheda";"5: solo nominato";"BEdT 072";"Bernart Vidal";" ";" ";"Catalogna, Rossiglione: solo nominato";" "
"";"Scheda";"0 autori diversi";"BEdT 448";"Uc";" ";" ";"non precisabile: diversi autori";"A Bausan (=045) sono da prob. da ricondurre due testi classificati da BdT sotto 448 Uc, BEdT 448,001 e BEdT 448,001a cfr. Harvey 2002, sopr. p.34-5 per il quadro delle rubriche e delle forme di indirizzo. Edizione della tenzone (BEdT 114,001) = BEdT 448,002 in Radaelli 2007 (Chardon - Ugon)."
"";"Scheda";"0 autori diversi";"BEdT 052";"Bernart";" ";" ";"non precisabile: diversi autori";" "
"";"Scheda";"0 autori diversi";"BEdT 025";"Arnaut";" ";" ";"non precisabile: diversi autori";"Si tratta forse o probabilmente di più autori. Secondo Marshall 1985, p.453, il promotore della tenzone BEdT 025,001a (= BEdT 058,001) dovrebbe in realtà chiamarsi Arman , non Arnaut ."
"";"Scheda";"2";"BEdT 190";"Grimoart Gausmar";" ";" ";"non precisabile";" "
"";"Scheda";"2";"BEdT 043";"Azalais de Porcairagues";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"2";"BEdT 047";"Berenguier de Palazol";" ";" ";"Catalogna, Rossiglione";" "
"";"Scheda";"2";"BEdT 063";"Bernart Marti";" ";" ";"Linguadoca, Contea di Foix (?)";" "
"";"Scheda";"2";"BEdT 070";"Bernart de Ventadorn";" ";" ";"Limosino, Marche";" "
"";"Scheda";"2";"BEdT 128";"Eble de Saignas";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";"Trovatore presente nella satira BEdT 323,011 di Peire d'Alvergne e identificato da Pirot 1973a, seguito da Rique 1975, p.338, nota, con un appartenente alla famiglia signorile di Saigna [Saignes], Cantal."
"";"Scheda";"2";"BEdT 034";"Arnaut de Tintignac";" ";" ";"Limosino, Marche";" "
"";"Scheda";"2";"BEdT 163";"Garin lo Brun";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";" "
"";"Scheda";"2";"BEdT 389";"Raimbaut d'Aurenga";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";" "
"";"Scheda";"2";"BEdT 286";"Lemozi";" ";" ";"Limosino, Marche (?)";" "
"";"Scheda";"2";"BEdT 323";"Peire d'Alvergne";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";" "
"";"Scheda";"2";"BEdT 356";"Peire Rogier";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";"Cfr. BEdT 347 Peire Luzer e BEdT 356a Peire Rogier de Mirapeis (e cfr. nota alla scheda relativa a BEdT 375,012 nella tav. di °C n.0361)."
"";"Scheda";"2 (?) @";"BEdT 219";"Guillem Godi";" ";" ";"non precisabile";"Da Jeanroy 1934, p.379 ritenuto coincidente con Gaudi (BEdT 170). Tuttavia i testi dei due, la canzone di Guillem Godi (BEdT 219,001) e una tenzone con proponente Alberjat (BEdT 012b,001) nella quale l'interlocutore è Gaudi, non hanno niente in comune e l'identificazione pare gratuita. La canzone di Guillem Godi - a torto classificata come chanson-sirventés da Jeanroy 1934 e nel t.1 di Frank 1953-57 - non contiene elementi utili a una sicura datazione, ma ha tratti coerenti di tipo arcaico ancor più che arcaizzante (sviluppo del tema amoroso, polemica contro i lauzengiers, difesa di joven, forma metrica su strofa breve di 6 octosyllabes maschili)."
"";"Scheda";"2,3";"BEdT 242";"Guiraut de Borneill";" ";" ";"Limosino, Marche";" "
"";"Scheda";"2: senhal";"BEdT 287";"Lignaure";" ";" ";"Provenza, Delfinato, Viennese, Valentinese: senhal";"Senhal designante con sicurezza Raimbaut d'Aurenga nella tenzone BEdT 389,010a Ara.m platz, Guiraut de Borneill ."
"";"Scheda";"2: solo nominato";"BEdT 232";"Guillem de Ribas";" ";" ";"Spagna";"Sconosciuto."
"";"Scheda";"2: solo nominato";"BEdT 118";"Cossezen";" ";" ";"Italia (?)";" "
"";"Scheda";"2: solo nominato";"BEdT 066a";"Bernart de Saissac";" ";" ";"Linguadoca, Contea di Foix";"E' l'ottavo dei trovatori raffigurati nella satira di Peire d'Alvernhe BEdT 323,011. E' stato identificato da molti con BEdT 063 Bernart Marti, opinione che è oggi largamente accettata. Cfr. inoltre BEdT 090 Bertran de Saissac ed anche BEdT 086 Bertran de Pessars."
